,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
3776,8408,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,90,105,2814,3365,,,,,,,,,
3777,8409,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,90,111,2814,3597,,,,2.0,,,Clones are within the same method,,
3778,8409,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,96,117,3056,3835,,,,,,,,,
3779,8413,tests,org.jfree.data.time.junit,YearTests,testParseYear,()V,211,226,6074,6490,,,,2.0,,,Clones are within the same method,,
3780,8413,tests,org.jfree.data.time.junit,YearTests,testParseYear,()V,202,217,5850,6268,,,,,,,,,
3806,8463,tests,org.jfree.chart.renderer.category.junit,AbstractCategoryItemRendererTests,testCloning2,()V,221,257,8161,9294,,,,2.0,,,Clones are within the same file,,
3807,8463,tests,org.jfree.chart.renderer.category.junit,AbstractCategoryItemRendererTests,testCloning1,()V,176,212,6791,7924,,,,,,,,,
3883,8537,tests,org.jfree.data.xy.junit,XYSeriesTests,testAddOrUpdate,()V,329,334,9504,9748,,,,2.0,,,Clones are within the same method,,
3884,8537,tests,org.jfree.data.xy.junit,XYSeriesTests,testAddOrUpdate,()V,324,329,9311,9554,,,,,,,,,
3889,8572,tests,org.jfree.data.time.junit,MovingAverageTests,createDailyTimeSeries1,()QTimeSeries;,113,122,3716,4385,,,,2.0,,,Clones are in different files,,
3890,8572,tests,org.jfree.chart.plot.junit,XYPlotTests,createDataset1,()QIntervalXYDataset;,841,850,30609,31297,,,,,,,,,
3917,8607,tests,org.jfree.data.time.junit,TimeSeriesTests,testEquals,()V,364,373,11177,11438,,,,2.0,,,Clones are within the same method,,
3918,8607,tests,org.jfree.data.time.junit,TimeSeriesTests,testEquals,()V,356,365,10968,11233,,,,,,,,,
3921,8620,tests,org.jfree.chart.plot.junit,ThermometerPlotTests,testSerialization2,()V,245,264,7849,8549,,,,2.0,,,Clones are in different files,,
3922,8620,tests,org.jfree.chart.renderer.xy.junit,StackedXYBarRendererTests,testSerialization,()V,153,171,4792,5512,,,,,,,,,
3923,8622,tests,org.jfree.chart.junit,JFreeChartTests,testEquals2,()V,233,238,8080,8419,,,,2.0,,,Clones are within the same file,,
3924,8622,tests,org.jfree.chart.junit,JFreeChartTests,testEquals,()V,137,142,4295,4631,,,,,,,,,
3930,8707,tests,org.jfree.data.time.junit,TimeSeriesTests,testSerialization,()V,308,327,9571,10233,,,,2.0,,,Clones are in different files,,
3931,8707,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testSerialization,()V,205,223,6433,7098,,,,,,,,,
3932,8719,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,122,125,4306,4529,,,,2.0,Subclone,8724.0,Clones are within the same method,,
3933,8719,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,95,2902,3125,,,,,,,,,
3934,8720,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,117,125,4072,4529,,,,2.0,,,Clones are within the same method,,
3935,8720,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,100,2902,3359,,,,,,,,,
3936,8721,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,105,2902,3593,,,,2.0,,,Clones are within the same method,,
3937,8721,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,112,125,3838,4529,,,,,,,,,
3938,8722,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,107,125,3604,4529,,,,2.0,,,Clones are within the same method,,
3939,8722,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,110,2902,3827,,,,,,,,,
3940,8723,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,115,2902,4061,,,,2.0,,,Clones are within the same method,,
3941,8723,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,102,125,3370,4529,,,,,,,,,
3942,8724,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,97,125,3136,4529,,,,2.0,,,Clones are within the same method,,
3943,8724,tests,org.jfree.chart.plot.junit,PieLabelRecordTests,testEquals,()V,92,120,2902,4295,,,,,,,,,
3954,8816,tests,org.jfree.chart.plot.junit,MarkerTests,testListenersWithCategoryPlot,()V,364,378,12263,13051,,,,2.0,,,Clones are within the same file,,
3955,8816,tests,org.jfree.chart.plot.junit,MarkerTests,testListenersWithXYPlot,()V,387,401,13290,14078,,,,,,,,,
3959,8824,tests,org.jfree.chart.util.junit,LogFormatTests,testEquals,()V,97,100,2949,3104,,,,2.0,Subclone,8825.0,Clones are within the same method,,
3960,8824,tests,org.jfree.chart.util.junit,LogFormatTests,testEquals,()V,87,90,2613,2766,,,,,,,,,
3961,8825,tests,org.jfree.chart.util.junit,LogFormatTests,testEquals,()V,92,100,2785,3104,,,,2.0,,,Clones are within the same method,,
3962,8825,tests,org.jfree.chart.util.junit,LogFormatTests,testEquals,()V,87,95,2613,2938,,,,,,,,,
3987,8864,tests,org.jfree.data.xy.junit,DefaultTableXYDatasetTests,testAddSeries,()V,186,192,5609,5871,,,,2.0,,,Clones are within the same method,,
3988,8864,tests,org.jfree.data.xy.junit,DefaultTableXYDatasetTests,testAddSeries,()V,198,205,6135,6398,,,,,,,,,
4015,8967,tests,org.jfree.data.time.junit,TimePeriodValuesTests,setUp,()V,106,118,3228,3795,,,,2.0,,,Clones are in different files,,
4016,8967,tests,org.jfree.data.time.junit,TimeSeriesTests,setUp,()V,117,129,3808,4369,,,,,,,,,
4023,8977,tests,org.jfree.data.time.junit,TimeSeriesTests,testClone,()V,166,177,5480,5841,,,,2.0,,,Clones are in different files,,
4024,8977,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testClone,()V,146,157,4693,5076,,,,,,,,,
4055,9027,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,104,107,3301,3506,,,,2.0,Subclone,9030.0,Clones are within the same method,,
4056,9027,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,128,131,4237,4442,,,,,,,,,
4057,9028,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,104,113,3301,3746,,,,2.0,,,Clones are within the same method,,
4058,9028,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,122,131,4004,4442,,,,,,,,,
4059,9029,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,104,119,3301,3978,,,,2.0,,,Clones are within the same method,,
4060,9029,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,116,131,3773,4442,,,,,,,,,
4061,9030,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,110,131,3541,4442,,,,2.0,,,Clones are within the same method,,
4062,9030,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testEquals,()V,104,125,3301,4209,,,,,,,,,
4105,9149,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullInfo,()V,177,197,5664,6476,,,,2.0,,,Clones are in different files,,
4106,9149,tests,org.jfree.chart.renderer.category.junit,StatisticalLineAndShapeRendererTests,testDrawWithNullInfo,()V,177,197,5746,6563,,,,,,,,,
4118,9170,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testAddValue,()V,187,195,5975,6232,,,,2.0,,,Clones are in different files,,
4119,9170,tests,org.jfree.data.time.junit,TimeSeriesTests,testAddValue,()V,238,246,7564,7837,,,,,,,,,
4144,9285,tests,org.jfree.chart.renderer.junit,LookupPaintScaleTests,testSerialization,()V,167,172,5403,5670,,,,2.0,,,Clones are within the same file,,
4145,9285,tests,org.jfree.chart.renderer.junit,LookupPaintScaleTests,testCloning,()V,129,134,4104,4370,,,,,,,,,
4181,9438,tests,org.jfree.chart.junit,JFreeChartTests,testLegendEvents,()V,533,539,17548,17866,,,,2.0,,,Clones are within the same file,,
4182,9438,tests,org.jfree.chart.junit,JFreeChartTests,testTitleChangeEvent,()V,547,553,18075,18376,,,,,,,,,
4190,9497,tests,org.jfree.data.time.junit,TimePeriodValuesTests,setUp,()V,110,126,3452,4139,,,,2.0,,,Clones are within the same method,,
4191,9497,tests,org.jfree.data.time.junit,TimePeriodValuesTests,setUp,()V,120,136,3841,4528,,,,,,,,,
4192,9498,tests,org.jfree.data.time.junit,TimeSeriesTests,setUp,()V,131,147,4427,5120,,,,2.0,,,Clones are within the same method,,
4193,9498,tests,org.jfree.data.time.junit,TimeSeriesTests,setUp,()V,121,137,4032,4725,,,,,,,,,
4194,9539,tests,org.jfree.chart.block.junit,GridArrangementTests,testEquals,()V,88,103,2766,3291,,,,2.0,,,Clones are in different files,,
4195,9539,tests,org.jfree.data.time.junit,WeekTests,testEquals,()V,120,135,3476,3932,,,,,,,,,
4247,9620,tests,org.jfree.chart.plot.junit,SpiderWebPlotTests,testDrawWithNullInfo,()V,356,369,12049,12518,,,,2.0,,,Clones are in different files,,
4248,9620,tests,org.jfree.chart.junit,PieChart3DTests,testNullValueInDataset,()V,120,133,3832,4311,,,,,,,,,
4280,9680,tests,org.jfree.data.time.junit,TimeSeriesDataItemTests,testEquals,()V,103,110,2915,3205,,,,2.0,,,Clones are in different files,,
4281,9680,tests,org.jfree.data.time.junit,TimePeriodValueTests,testEquals,()V,99,102,2809,3039,,,,,,,,,
4300,9714,tests,org.jfree.data.statistics.junit,BoxAndWhiskerCalculatorTests,testCalculateQ3,()V,139,165,4478,5434,,,,2.0,,,Clones are within the same file,,
4301,9714,tests,org.jfree.data.statistics.junit,BoxAndWhiskerCalculatorTests,testCalculateQ1,()V,107,134,3442,4415,,,,,,,,,
4310,9755,tests,org.jfree.chart.junit,PaintMapTests,testGetPaint,()V,90,101,2703,3029,,,,2.0,,,Clones are in different files,,
4311,9755,tests,org.jfree.chart.junit,StrokeMapTests,testGetStroke,()V,88,99,2658,2986,,,,,,,,,
4325,9776,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,testGetEndValue3,()V,363,370,13687,14019,,,,2.0,Subclone,6444.0,Clones are within the same file,,
4326,9776,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,testGetStartValue3,()V,298,305,10786,11122,,,,,,,,,
4377,9953,tests,org.jfree.data.time.junit,TimeSeriesTests,testEquals,()V,347,357,10708,11024,,,,2.0,,,Clones are in different files,,
4378,9953,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testEquals,()V,267,277,8340,8656,,,,,,,,,
4382,9960,tests,org.jfree.chart.renderer.category.junit,BoxAndWhiskerRendererTests,testBug1572478Horizontal,()V,290,306,9777,10311,,,,2.0,,,Clones are within the same file,,
4383,9960,tests,org.jfree.chart.renderer.category.junit,BoxAndWhiskerRendererTests,testBug1572478Vertical,()V,247,263,8346,8880,,,,,,,,,
4384,9969,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testGetDomainAxisIndex,()V,837,849,31177,31679,,,,2.0,,,Clones are within the same file,,
4385,9969,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testGetRangeAxisIndex,()V,861,873,32075,32565,,,,,,,,,
