,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
65,145,tests,org.jfree.data.xy.junit,DefaultXYZDatasetTests,testEquals,()V,87,94,2644,2938,,,,2.0,,,Clones are in different files,,
66,145,tests,org.jfree.data.xy.junit,DefaultXYDatasetTests,testEquals,()V,87,94,2653,2943,,,,,,,,,
69,155,tests,org.jfree.chart.title.junit,DateTitleTests,testEquals,()V,85,105,2514,3121,,,,2.0,,,Clones are in different files,,
70,155,tests,org.jfree.chart.title.junit,TextTitleTests,testEquals,()V,90,111,2723,3351,,,,,,,,,
73,164,tests,org.jfree.chart.renderer.category.junit,ScatterRendererTests,testEquals,()V,87,94,2669,2951,,,,2.0,,,Clones are in different files,,
74,164,tests,org.jfree.chart.renderer.junit,DefaultPolarItemRendererTests,testEquals,()V,84,91,2661,2975,,,,,,,,,
89,175,tests,org.jfree.chart.entity.junit,ContourEntityTests,testEquals,()V,84,105,2553,3349,,,,2.0,,,Clones are in different files,,
90,175,tests,org.jfree.chart.entity.junit,TickLabelEntityTests,testEquals,()V,84,105,2569,3374,,,,,,,,,
135,975,tests,org.jfree.data.time.junit,YearTests,testGetLastMillisecond,()V,334,344,9613,10056,,,,2.0,Subclone,1239.0,Clones are within the same file,,
136,975,tests,org.jfree.data.time.junit,YearTests,testGetFirstMillisecond,()V,280,290,7861,8303,,,,,,,,,
143,978,tests,org.jfree.data.time.junit,HourTests,testGetFirstMillisecond,()V,262,271,7583,8002,,,,2.0,Subclone,1244.0,Clones are within the same file,,
144,978,tests,org.jfree.data.time.junit,HourTests,testGetLastMillisecond,()V,315,324,9332,9742,,,,,,,,,
145,979,tests,org.jfree.data.time.junit,MinuteTests,testGetLastMillisecond,()V,265,274,8069,8485,,,,2.0,Subclone,1245.0,Clones are within the same file,,
146,979,tests,org.jfree.data.time.junit,MinuteTests,testGetFirstMillisecond,()V,212,221,6288,6715,,,,,,,,,
147,980,tests,org.jfree.data.time.junit,SecondTests,testGetLastMillisecond,()V,265,274,8131,8549,,,,2.0,Subclone,1246.0,Clones are within the same file,,
148,980,tests,org.jfree.data.time.junit,SecondTests,testGetFirstMillisecond,()V,212,221,6346,6777,,,,,,,,,
149,981,tests,org.jfree.data.time.junit,MillisecondTests,testGetFirstMillisecond,()V,231,240,7417,7863,,,,2.0,Subclone,1247.0,Clones are within the same file,,
150,981,tests,org.jfree.data.time.junit,MillisecondTests,testGetLastMillisecond,()V,284,293,9247,9680,,,,,,,,,
159,996,tests,org.jfree.chart.plot.junit,CombinedDomainCategoryPlotTests,createPlot,()QCombinedDomainCategoryPlot;,291,317,9430,10608,,,,,,,,,
160,1001,tests,org.jfree.chart.plot.dial.junit,DialPlotTests,testCapListener,()V,238,254,7205,7718,,,,2.0,,,Clones are within the same file,,
161,1001,tests,org.jfree.chart.plot.dial.junit,DialPlotTests,testFrameListener,()V,259,275,7814,8380,,,,,,,,,
236,1238,tests,org.jfree.data.time.junit,MinuteTests,testGetStart,()V,343,355,10630,11198,,,,2.0,,,Clones are within the same file,,
237,1238,tests,org.jfree.data.time.junit,MinuteTests,testGetEnd,()V,360,372,11276,11836,,,,,,,,,
266,1266,tests,org.jfree.chart.plot.junit,XYPlotTests,testSetRenderer,()V,880,890,32302,32777,,,,2.0,,,Clones are in different files,,
267,1266,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSetRenderer,()V,748,758,27760,28251,,,,,,,,,
272,1293,tests,org.jfree.chart.plot.junit,CombinedRangeXYPlotTests,testRemoveSubplot,()V,124,134,3877,4260,,,,2.0,,,Clones are in different files,,
273,1293,tests,org.jfree.chart.plot.junit,CombinedDomainXYPlotTests,testRemoveSubplot,()V,122,132,3858,4243,,,,,,,,,
688,1625,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testEquals,()V,276,314,10419,11899,,,,2.0,,,Clones are in different files,,
689,1625,tests,org.jfree.chart.plot.junit,XYPlotTests,testEquals,()V,235,273,8640,10178,,,,,,,,,
690,1674,tests,org.jfree.chart.junit,PieChartTests,testReplaceDatasetOnPieChart,()V,96,103,2770,3067,,,,2.0,,,Clones are in different files,,
691,1674,tests,org.jfree.chart.junit,PieChart3DTests,testReplaceDatasetOnPieChart,()V,102,109,3143,3440,,,,,,,,,
694,1687,tests,org.jfree.data.general.junit,DatasetUtilitiesTests,testFindMaximumRangeValue,()V,403,411,14857,15235,,,,2.0,,,Clones are within the same file,,
695,1687,tests,org.jfree.data.general.junit,DatasetUtilitiesTests,testFindMinimumRangeValue,()V,390,398,14387,14765,,,,,,,,,
705,1726,tests,org.jfree.data.time.ohlc.junit,OHLCSeriesCollectionTests,testSerialization,()V,134,140,4233,4474,,,,2.0,,,Clones are within the same file,,
706,1726,tests,org.jfree.data.time.ohlc.junit,OHLCSeriesCollectionTests,testCloning,()V,110,115,3484,3716,,,,,,,,,
707,1776,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests2,test5,()V,196,223,7244,8508,,,,2.0,,,Clones are within the same file,,
708,1776,tests,org.jfree.chart.axis.junit,SegmentedTimelineTests2,test6,()V,237,265,9030,10299,,,,,,,,,
713,1780,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,99,125,3008,4117,,,,2.0,,,Clones are in different files,,
714,1780,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,114,140,3371,4341,,,,,,,,,
870,2010,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems,()V,713,720,23648,23998,,,,2.0,,,Clones are within the same file,,
871,2010,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems2,()V,751,758,25160,25510,,,,,,,,,
872,2027,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,300,307,9815,10225,,,,2.0,,,Clones are within the same method,,
873,2027,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,291,298,9368,9796,,,,,,,,,
1119,2305,tests,org.jfree.chart.plot.junit,SpiderWebPlotTests,testSerialization,()V,323,340,10925,11505,,,,2.0,,,Clones are in different files,,
1120,2305,tests,org.jfree.chart.renderer.xy.junit,XYBarRendererTests,testSerialization2,()V,238,255,7670,8245,,,,,,,,,
1121,2306,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization2,()V,565,585,21207,22058,,,,2.0,,,Clones are within the same file,,
1122,2306,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization,()V,535,554,20130,20988,,,,,,,,,
1141,2356,tests,org.jfree.chart.plot.junit,PiePlotTests,testEquals,()V,238,267,8719,9774,,,,2.0,,,Clones are in different files,,
1142,2356,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,152,180,5020,6029,,,,,,,,,
1800,2507,tests,org.jfree.chart.axis.junit,PeriodAxisLabelInfoTests,testEquals,()V,94,100,2899,3172,,,,2.0,,,Clones are within the same file,,
1801,2507,tests,org.jfree.chart.axis.junit,PeriodAxisLabelInfoTests,testHashCode,()V,167,173,6062,6335,,,,,,,,,
1931,2659,tests,org.jfree.data.category.junit,CategoryToPieDatasetTests,testSerialization,()V,227,248,7505,8238,,,,2.0,,,Clones are in different files,,
1932,2659,tests,org.jfree.chart.junit,ChartRenderingInfoTests,testSerialization2,()V,176,192,5809,6379,,,,,,,,,
1958,2666,tests,org.jfree.chart.junit,JFreeChartTests,testSerialization1,()V,299,316,10020,10580,,,,2.0,,,Clones are in different files,,
1959,2666,tests,org.jfree.chart.plot.dial.junit,AbstractDialLayerTests,testSerialization,()V,125,144,3768,4393,,,,,,,,,
2020,2839,tests,org.jfree.chart.plot.junit,MeterPlotTests,testSerialization2,()V,289,305,10215,10788,,,,2.0,,,Clones are in different files,,
2021,2839,tests,org.jfree.chart.renderer.xy.junit,StackedXYAreaRendererTests,testSerialization,()V,165,181,5413,6002,,,,,,,,,
2042,2880,tests,org.jfree.chart.renderer.category.junit,GroupedStackedBarRendererTests,testDrawWithNullInfo,()V,169,177,5544,5980,,,,2.0,,,Clones are in different files,,
2043,2880,tests,org.jfree.chart.renderer.category.junit,IntervalBarRendererTests,testDrawWithNullInfo,()V,171,178,5468,5872,,,,,,,,,
2044,2889,tests,org.jfree.chart.plot.junit,ValueMarkerTests,testEquals,()V,139,163,4480,5376,,,,2.0,,,Clones are in different files,,
2045,2889,tests,org.jfree.chart.annotations.junit,TextAnnotationTests,testEquals,()V,86,115,2724,3649,,,,,,,,,
2048,2970,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,291,300,9384,9840,,,,2.0,,,Clones are within the same method,,
2049,2970,tests,org.jfree.chart.plot.junit,CombinedRangeCategoryPlotTests,createPlot,()QCombinedRangeCategoryPlot;,300,309,9831,10257,,,,,,,,,
2059,3093,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testOutlinePaintLookup,()V,899,915,31783,32571,,,,2.0,Subclone,3094.0,Clones are within the same file,,
2060,3093,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testPaintLookup,()V,857,873,30121,30845,,,,,,,,,
2284,3317,tests,org.jfree.chart.axis.junit,AxisLocationTests,testSerialization,()V,107,123,3360,3972,,,,2.0,,,Clones are in different files,,
2285,3317,tests,org.jfree.chart.labels.junit,ItemLabelAnchorTests,testSerialization,()V,92,109,2776,3363,,,,,,,,,
2286,3344,tests,org.jfree.data.xy.junit,IntervalXYDelegateTests,testCloning,()V,121,128,3761,4026,,,,2.0,,,Clones are within the same file,,
2287,3344,tests,org.jfree.data.xy.junit,IntervalXYDelegateTests,testSerialization,()V,143,149,4451,4707,,,,,,,,,
2293,3424,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testSerialization,()V,112,120,3994,4430,,,,2.0,,,Clones are within the same file,,
2294,3424,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testCloning,()V,142,149,5057,5484,,,,,,,,,
2307,3492,tests,org.jfree.data.junit,DefaultKeyedValuesTests,testInsertAndRetrieve,()V,325,341,9925,10609,,,,2.0,,,Clones are in different files,,
2308,3492,tests,org.jfree.data.junit,KeyedObjectsTests,testInsertAndRetrieve,()V,157,173,4725,5405,,,,,,,,,
2309,3498,tests,org.jfree.chart.axis.junit,NumberAxisTests,testAutoRange2,()V,253,263,8737,9371,,,,2.0,,,Clones are within the same file,,
2310,3498,tests,org.jfree.chart.axis.junit,NumberAxisTests,testAutoRange3,()V,273,283,9708,10342,,,,,,,,,
2403,3709,tests,org.jfree.chart.junit,StrokeMapTests,testSerialization2,()V,202,218,5829,6399,,,,2.0,,,Clones are in different files,,
2404,3709,tests,org.jfree.data.junit,DefaultKeyedValueTests,testSerialization,()V,148,165,4572,5156,,,,,,,,,
2405,3715,tests,org.jfree.chart.axis.junit,LogAxisTests,testSetLowerBound,()V,308,316,10435,10784,,,,2.0,,,Clones are in different files,,
2406,3715,tests,org.jfree.chart.axis.junit,NumberAxisTests,testSetLowerBound,()V,445,457,16485,16994,,,,,,,,,
2411,3717,tests,org.jfree.chart.axis.junit,LogAxisTests,testXYAutoRange1,()V,253,275,8663,9445,,,,2.0,,,Clones are within the same file,,
2412,3717,tests,org.jfree.chart.axis.junit,LogAxisTests,testXYAutoRange2,()V,281,303,9572,10354,,,,,,,,,
2415,3722,tests,org.jfree.chart.axis.junit,NumberTickUnitTests,testEquals,()V,94,97,3012,3207,,,,2.0,,,Clones are within the same method,,
2416,3722,tests,org.jfree.chart.axis.junit,NumberTickUnitTests,testEquals,()V,89,92,2800,2993,,,,,,,,,
2417,3740,tests,org.jfree.chart.plot.junit,CombinedRangeXYPlotTests,createPlot,()QCombinedRangeXYPlot;,300,311,9765,10155,,,,2.0,,,Clones are in different files,,
2418,3740,tests,org.jfree.chart.plot.junit,CombinedDomainXYPlotTests,createPlot,()QCombinedDomainXYPlot;,308,319,10056,10444,,,,,,,,,
2419,3745,tests,org.jfree.data.xy.junit,XYSeriesCollectionTests,testGetSeries,()V,189,212,5797,6372,,,,2.0,,,Clones are in different files,,
2420,3745,tests,org.jfree.data.time.junit,TimePeriodValuesCollectionTests,testGetSeries,()V,171,194,5573,6213,,,,,,,,,
2421,3759,tests,org.jfree.chart.plot.junit,ValueMarkerTests,testGetSetValue,()V,235,243,7513,7834,,,,2.0,,,Clones are in different files,,
2422,3759,tests,org.jfree.chart.plot.junit,MarkerTests,testGetSetAlpha,()V,181,191,5851,6269,,,,,,,,,
2434,3764,tests,org.jfree.data.junit,DefaultKeyedValuesTests,testSortByValueDescending,()V,476,504,14981,16025,,,,2.0,,,Clones are within the same file,,
2435,3764,tests,org.jfree.data.junit,DefaultKeyedValuesTests,testSortByValueAscending,()V,443,471,13859,14901,,,,,,,,,
2436,3778,tests,org.jfree.chart.plot.junit,IntervalMarkerTests,testSerialization,()V,144,159,4483,5016,,,,2.0,,,Clones are in different files,,
2437,3778,tests,org.jfree.data.xy.junit,XYSeriesTests,testSerialization,()V,205,221,5743,6263,,,,,,,,,
2443,3826,tests,org.jfree.chart.annotations.junit,CategoryTextAnnotationTests,testEquals,()V,91,103,2904,3241,,,,2.0,,,Clones are in different files,,
2444,3826,tests,org.jfree.chart.annotations.junit,TextAnnotationTests,testEquals,()V,85,95,2658,2939,,,,,,,,,
2462,3860,tests,org.jfree.data.category.junit,SlidingCategoryDatasetTests,testCloning,()V,115,120,3577,3825,,,,2.0,,,Clones are within the same file,,
2463,3860,tests,org.jfree.data.category.junit,SlidingCategoryDatasetTests,testSerialization,()V,143,148,4524,4772,,,,,,,,,
2464,3861,tests,org.jfree.data.time.junit,TimeSeriesCollectionTests,testIndexOf,()V,288,309,9058,9840,,,,2.0,,,Clones are in different files,,
2465,3861,tests,org.jfree.data.xy.junit,XYSeriesCollectionTests,testIndexOf,()V,275,296,7830,8564,,,,,,,,,
2473,3945,tests,org.jfree.chart.axis.junit,ModuloAxisTests,testEquals,()V,101,103,2980,3143,,,,2.0,,,Clones are within the same file,,
2474,3945,tests,org.jfree.chart.axis.junit,ModuloAxisTests,testHashCode,()V,115,117,3434,3597,,,,,,,,,
2487,3954,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,117,140,3475,4341,,,,2.0,,,Clones are within the same method,,
2488,3954,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,170,193,5365,6301,,,,,,,,,
2489,3955,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,102,128,3144,4248,,,,2.0,,,Clones are in different files,,
2490,3955,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,170,196,5365,6417,,,,,,,,,
2496,3975,tests,org.jfree.chart.plot.junit,PiePlot3DTests,testSerialization,()V,110,131,3308,3927,,,,2.0,,,Clones are in different files,,
2497,3975,tests,org.jfree.chart.plot.junit,PiePlotTests,testSerialization,()V,559,577,20161,20769,,,,,,,,,
2514,4057,tests,org.jfree.data.junit,DataUtilitiesTests,testCalculateRowTotal,()V,86,96,3056,3647,,,,2.0,,,Clones are within the same file,,
2515,4057,tests,org.jfree.data.junit,DataUtilitiesTests,testCalculateColumnTotal,()V,71,81,2364,2967,,,,,,,,,
2520,4119,tests,org.jfree.chart.title.junit,LegendTitleTests,testHashcode,()V,131,136,4240,4457,,,,2.0,,,Clones are in different files,,
2521,4119,tests,org.jfree.chart.plot.dial.junit,DialBackgroundTests,testHashCode,()V,119,124,3850,4087,,,,,,,,,
2534,4175,tests,org.jfree.data.category.junit,DefaultCategoryDatasetTests,testRemoveValue,()V,275,285,8096,8548,,,,2.0,,,Clones are in different files,,
2535,4175,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testRemoveValue,()V,303,313,9565,10021,,,,,,,,,
2544,4250,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullMeanHorizontal,()V,238,245,8054,8469,,,,2.0,,,Clones are within the same file,,
2545,4250,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullDeviationHorizontal,()V,293,300,10229,10644,,,,,,,,,
2578,4342,tests,org.jfree.data.time.junit,TimeSeriesTests,testCreateCopy2,()V,486,493,16217,16630,,,,2.0,,,Clones are within the same file,,
2579,4342,tests,org.jfree.data.time.junit,TimeSeriesTests,testCreateCopy1,()V,392,399,12024,12437,,,,,,,,,
2593,4391,tests,org.jfree.chart.urls.junit,StandardPieURLGeneratorTests,testSerialization,()V,132,154,4525,5233,,,,2.0,,,Clones are in different files,,
2594,4391,tests,org.jfree.data.junit,KeyedObjectTests,testSerialization,()V,161,183,4916,5570,,,,,,,,,
2604,4483,tests,org.jfree.chart.renderer.xy.junit,XYBlockRendererTests,testBug1766646B,()V,202,209,6158,6470,,,,2.0,,,Clones are within the same file,,
2605,4483,tests,org.jfree.chart.renderer.xy.junit,XYBlockRendererTests,testBug1766646A,()V,190,197,5776,6090,,,,,,,,,
2610,4492,tests,org.jfree.data.time.junit,TimePeriodValuesCollectionTests,testGetDomainBoundsWithInterval,()V,238,252,7854,8535,,,,2.0,,,Clones are within the same method,,
2611,4492,tests,org.jfree.data.time.junit,TimePeriodValuesCollectionTests,testGetDomainBoundsWithInterval,()V,244,258,8126,8788,,,,,,,,,
2612,4523,tests,org.jfree.chart.plot.junit,RingPlotTests,testEquals,()V,95,116,2817,3638,,,,2.0,,,Clones are in different files,,
2613,4523,tests,org.jfree.chart.plot.junit,XYPlotTests,testEquals,()V,232,253,8502,9374,,,,,,,,,
2629,4652,tests,org.jfree.chart.plot.junit,IntervalMarkerTests,testGetSetStartValue,()V,170,178,5243,5593,,,,2.0,,,Clones are within the same file,,
2630,4652,tests,org.jfree.chart.plot.junit,IntervalMarkerTests,testGetSetEndValue,()V,183,191,5691,6033,,,,,,,,,
2631,4674,tests,org.jfree.data.general.junit,DefaultKeyedValuesDatasetTests,testSerialization,()V,105,128,3352,4108,,,,2.0,,,Clones are in different files,,
2632,4674,tests,org.jfree.data.general.junit,DefaultPieDatasetTests,testSerialization,()V,182,205,5343,6097,,,,,,,,,
2641,4718,tests,org.jfree.chart.axis.junit,NumberAxisTests,testXYAutoRange1,()V,346,368,13144,13934,,,,2.0,,,Clones are within the same file,,
2642,4718,tests,org.jfree.chart.axis.junit,NumberAxisTests,testXYAutoRange2,()V,374,396,14065,14854,,,,,,,,,
2701,4812,tests,org.jfree.data.statistics.junit,DefaultMultiValueCategoryDatasetTests,testGetColumnCount,()V,149,164,4493,4979,,,,2.0,,,Clones are within the same file,,
2702,4812,tests,org.jfree.data.statistics.junit,DefaultMultiValueCategoryDatasetTests,testGetRowCount,()V,131,144,3951,4412,,,,,,,,,
2707,4832,tests,org.jfree.chart.plot.junit,FastScatterPlotTests,testEquals,()V,119,137,3936,4712,,,,2.0,,,Clones are within the same method,,
2708,4832,tests,org.jfree.chart.plot.junit,FastScatterPlotTests,testEquals,()V,101,119,3190,3967,,,,,,,,,
2714,4837,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,143,167,4426,5271,,,,2.0,,,Clones are in different files,,
2715,4837,tests,org.jfree.chart.plot.junit,PlotTests,testEquals,()V,122,146,4019,4904,,,,,,,,,
2736,4865,tests,org.jfree.data.time.junit,TimePeriodValuesTests,testEquals,()V,234,241,7275,7573,,,,2.0,,,Clones are in different files,,
2737,4865,tests,org.jfree.data.time.junit,TimeSeriesTests,testEquals,()V,338,345,10423,10697,,,,,,,,,
2743,4873,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,164,187,5166,6038,,,,2.0,,,Clones are in different files,,
2744,4873,tests,org.jfree.chart.plot.junit,PolarPlotTests,testEquals,()V,116,135,3813,4625,,,,,,,,,
2745,4896,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testSerialization,()V,133,139,4386,4708,,,,2.0,,,Clones are within the same file,,
2746,4896,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testCloning,()V,106,112,3502,3824,,,,,,,,,
2752,4950,tests,org.jfree.chart.junit,JFreeChartTests,testSerialization1,()V,292,315,9742,10554,,,,2.0,,,Clones are within the same file,,
2753,4950,tests,org.jfree.chart.junit,JFreeChartTests,testSerialization2,()V,325,348,10795,11608,,,,,,,,,
2765,4968,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testSerialization,()V,270,277,8865,9122,,,,2.0,,,Clones are within the same file,,
2766,4968,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testCloning,()V,222,228,7257,7513,,,,,,,,,
2767,4969,tests,org.jfree.chart.plot.dial.junit,DialPointerTests,testSerialization2,()V,207,229,6249,6958,,,,2.0,,,Clones are within the same file,,
2768,4969,tests,org.jfree.chart.plot.dial.junit,DialPointerTests,testSerialization,()V,180,202,5449,6153,,,,,,,,,
2769,5004,tests,org.jfree.data.junit,ComparableObjectSeriesTests,testSerialization,()V,202,218,6407,7001,,,,2.0,,,Clones are in different files,,
2770,5004,tests,org.jfree.data.junit,ComparableObjectItemTests,testSerialization,()V,139,156,4423,5041,,,,,,,,,
2771,5013,tests,org.jfree.data.junit,KeyedObjectsTests,testGetKey,()V,261,265,7817,8026,,,,2.0,,,Clones are within the same file,,
2772,5013,tests,org.jfree.data.junit,KeyedObjectsTests,testGetObject,()V,227,231,6889,7104,,,,,,,,,
2822,5092,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testColumnCount,()V,212,219,6757,7080,,,,2.0,,,Clones are within the same file,,
2823,5092,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testRowCount,()V,200,207,6358,6669,,,,,,,,,
2824,5099,tests,org.jfree.chart.plot.junit,XYPlotTests,testSerialization4,()V,701,731,25171,26185,,,,2.0,,,Clones are in different files,,
2825,5099,tests,org.jfree.chart.plot.junit,CategoryPlotTests,testSerialization4,()V,653,683,23991,25023,,,,,,,,,
2856,5234,tests,org.jfree.data.junit,KeyToGroupMapTests,testMapKeyToGroup,()V,86,100,2574,3086,,,,2.0,,,Clones are within the same file,,
2857,5234,tests,org.jfree.data.junit,KeyToGroupMapTests,testGetGroup,()V,207,216,6805,7165,,,,,,,,,
2864,5240,tests,org.jfree.data.xy.junit,XYSeriesTests,testCloning2,()V,162,175,4672,5037,,,,2.0,,,Clones are within the same file,,
2865,5240,tests,org.jfree.data.xy.junit,XYSeriesTests,testCloning3,()V,183,196,5188,5553,,,,,,,,,
2866,5249,tests,org.jfree.chart.plot.junit,PiePlotTests,testEquals,()V,185,215,6331,7710,,,,2.0,,,Clones are within the same method,,
2867,5249,tests,org.jfree.chart.plot.junit,PiePlotTests,testEquals,()V,155,185,5053,6356,,,,,,,,,
2868,5265,tests,org.jfree.data.junit,KeyedObjects2DTests,testRemoveRowByIndex,()V,291,318,8391,9169,,,,2.0,,,Clones are within the same file,,
2869,5265,tests,org.jfree.data.junit,KeyedObjects2DTests,testRemoveColumnByIndex,()V,323,350,9252,10054,,,,,,,,,
2872,5304,tests,org.jfree.data.junit,RangeTests,testScale,()V,280,292,8477,8854,,,,2.0,,,Clones are within the same file,,
2873,5304,tests,org.jfree.data.junit,RangeTests,testShift,()V,254,266,7727,8102,,,,,,,,,
2874,5315,tests,org.jfree.chart.plot.junit,MeterPlotTests,testEquals,()V,159,182,5580,6485,,,,2.0,,,Clones are in different files,,
2875,5315,tests,org.jfree.chart.axis.junit,AxisTests,testEquals,()V,156,179,4830,5699,,,,,,,,,
2876,5329,tests,org.jfree.data.time.junit,YearTests,testGetEnd,()V,421,430,12282,12684,,,,2.0,,,Clones are within the same file,,
2877,5329,tests,org.jfree.data.time.junit,YearTests,testGetStart,()V,407,416,11813,12204,,,,,,,,,
2884,5334,tests,org.jfree.data.time.junit,DayTests,testGetEnd,()V,427,436,12887,13291,,,,2.0,,,Clones are within the same file,,
2885,5334,tests,org.jfree.data.time.junit,DayTests,testGetStart,()V,413,422,12412,12809,,,,,,,,,
2886,5336,tests,org.jfree.data.time.junit,HourTests,testGetEnd,()V,406,415,12239,12647,,,,2.0,,,Clones are within the same file,,
2887,5336,tests,org.jfree.data.time.junit,HourTests,testGetStart,()V,392,401,11759,12161,,,,,,,,,
2888,5338,tests,org.jfree.data.time.junit,SecondTests,testGetEnd,()V,358,367,11315,11737,,,,2.0,,,Clones are within the same file,,
2889,5338,tests,org.jfree.data.time.junit,SecondTests,testGetStart,()V,344,353,10821,11237,,,,,,,,,
2890,5339,tests,org.jfree.data.time.junit,MillisecondTests,testGetEnd,()V,379,388,12712,13149,,,,2.0,,,Clones are within the same file,,
2891,5339,tests,org.jfree.data.time.junit,MillisecondTests,testGetStart,()V,365,374,12201,12634,,,,,,,,,
2892,5345,tests,org.jfree.data.category.junit,SlidingCategoryDatasetTests,testGetValue,()V,248,255,8380,8746,,,,2.0,Subclone,5346.0,Clones are within the same file,,
2893,5345,tests,org.jfree.data.category.junit,SlidingCategoryDatasetTests,testGetColumnIndex,()V,214,221,7030,7396,,,,,,,,,
2900,5398,tests,org.jfree.data.junit,KeyedObjectsTests,testRemoveValueInt,()V,385,392,11364,11657,,,,2.0,,,Clones are within the same file,,
2901,5398,tests,org.jfree.data.junit,KeyedObjectsTests,testRemoveValue,()V,347,354,10351,10644,,,,,,,,,
2902,5410,tests,org.jfree.chart.axis.junit,DateAxisTests,testPreviousStandardDateYearA,()V,326,393,10655,13215,,,,2.0,,,Clones are within the same file,,
2903,5410,tests,org.jfree.chart.axis.junit,DateAxisTests,testPreviousStandardDateYearB,()V,399,466,13392,15953,,,,,,,,,
2909,5465,tests,org.jfree.chart.labels.junit,StandardXYZToolTipGeneratorTests,testEquals,()V,104,112,3492,3852,,,,2.0,,,Clones are in different files,,
2910,5465,tests,org.jfree.chart.labels.junit,BubbleXYItemLabelGeneratorTests,testEquals,()V,99,107,3200,3546,,,,,,,,,
2914,5478,tests,org.jfree.data.gantt.junit,SlidingGanttCategoryDatasetTests,testCloning,()V,143,149,4754,5095,,,,2.0,,,Clones are within the same file,,
2915,5478,tests,org.jfree.data.gantt.junit,SlidingGanttCategoryDatasetTests,testSerialization,()V,180,186,6117,6458,,,,,,,,,
2918,5491,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testSetNegativeItemLabelPosition,()V,649,656,22910,23298,,,,2.0,,,Clones are within the same file,,
2919,5491,tests,org.jfree.chart.renderer.junit,AbstractRendererTests,testSetPositiveItemLabelPosition,()V,636,643,22392,22780,,,,,,,,,
2932,5601,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,createCollection3,()QTaskSeriesCollection;,167,171,5932,6140,,,,2.0,,,Clones are within the same method,,
2933,5601,tests,org.jfree.data.gantt.junit,TaskSeriesCollectionTests,createCollection3,()QTaskSeriesCollection;,157,161,5556,5762,,,,,,,,,
2946,5612,tests,org.jfree.chart.axis.junit,LogAxisTests,testAutoRange1,()V,202,219,6509,7199,,,,2.0,,,Clones are within the same file,,
2947,5612,tests,org.jfree.chart.axis.junit,LogAxisTests,testAutoRange3,()V,228,238,7468,8096,,,,,,,,,
2948,5624,tests,org.jfree.chart.axis.junit,CategoryAxisTests,testCloning2,()V,192,200,6074,6452,,,,2.0,,,Clones are in different files,,
2949,5624,tests,org.jfree.chart.axis.junit,ExtendedCategoryAxisTests,testCloning2,()V,148,156,4586,4996,,,,,,,,,
2985,5925,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,testIndexOf,()V,348,354,11423,11695,,,,2.0,,,Clones are in different files,,
2986,5925,tests,org.jfree.data.xy.junit,DefaultWindDatasetTests,testIndexOf,()V,209,215,6281,6559,,,,,,,,,
